benchmark,topology,interop_threads,intraop_threads,batch_size,latency(min),latency(avg),latency(max),flops
resnet_manual_script,sequential,1,2,64,3244.8755227960646,3260.880862940103,3309.4526948407292,0.0
resnet_manual_script,sequential,1,3,64,2215.161258354783,2228.520796992816,2276.11916186288,0.0
resnet_manual_script,sequential,1,4,64,1746.1713249795139,1753.3803002769127,1778.302941005677,0.0
resnet_manual_script,sequential,1,5,64,1337.7551031298935,1415.2135659428313,1451.4558441005647,0.0
resnet_manual_script,sequential,1,6,64,1261.5494527854025,1273.9672410674393,1291.4367821067572,0.0
resnet_manual_script,sequential,1,7,64,1084.7794730216265,1093.9175674319267,1115.8652589656413,0.0
resnet_manual_script,sequential,1,8,64,951.4258038252592,957.877843962051,982.3059011250734,0.0
resnet_manual_script,sequential,1,9,64,866.7683592066169,873.8190462393686,895.5473909154534,0.0
resnet_manual_script,sequential,1,10,64,756.2610819004476,796.0262010060251,822.7099711075425,0.0
resnet_manual_script,sequential,1,11,64,752.3527331650257,758.663299176842,782.7747529372573,0.0
resnet_manual_script,sequential,1,12,64,702.1053596399724,709.654174237512,727.3664367385209,0.0
resnet_manual_script,sequential,1,13,64,701.6000929288566,706.6414778586477,727.1274491213262,0.0
resnet_manual_script,sequential,1,14,64,671.6143251396716,676.0693068662658,697.975701186806,0.0
resnet_manual_script,sequential,1,15,64,640.8551316708326,647.4509407114238,666.739942971617,0.0
resnet_manual_script,sequential,1,16,64,573.5620888881385,611.402982850559,642.2150358557701,0.0
resnet_manual_script,sequential,1,17,64,590.4383668676019,597.0206467155367,620.0393498875201,0.0
resnet_manual_script,sequential,1,18,64,570.4716271720827,575.7488066516817,592.77711994946,0.0
resnet_manual_script,sequential,1,1,128,13179.69646025449,13186.37585141696,13196.591386105865,0.0
resnet_manual_script,sequential,1,2,128,6594.570924993604,6618.797321403399,6887.011811137199,0.0
resnet_manual_script,sequential,1,3,128,4489.717034157366,4506.12904899288,4580.149644985795,0.0
resnet_manual_script,sequential,1,4,128,3538.8833610340953,3550.7450065854937,3584.4271420501173,0.0
resnet_manual_script,sequential,1,5,128,2888.10892496258,2897.9512645164505,2930.374378338456,0.0
resnet_manual_script,sequential,1,6,128,2559.9666479974985,2568.419628809206,2598.9018762484193,0.0
resnet_manual_script,sequential,1,7,128,2233.622861094773,2243.1854474917054,2329.4319859705865,0.0
resnet_manual_script,sequential,1,8,128,1928.056851029396,1936.1845105234534,1976.8400243483484,0.0
resnet_manual_script,sequential,1,9,128,1773.8161170855165,1781.3273722492158,1808.000307995826,0.0
resnet_manual_script,sequential,1,10,128,1685.4024431668222,1692.0573652395979,1713.2824510335922,0.0
resnet_manual_script,sequential,1,11,128,1587.694596964866,1595.204937281087,1623.1790650635958,0.0
resnet_manual_script,sequential,1,12,128,1442.3339497298002,1453.2293804595247,1468.9411399886012,0.0
resnet_manual_script,sequential,1,13,128,1474.5663814246655,1481.571450238116,1510.633893776685,0.0
resnet_manual_script,sequential,1,14,128,1407.6304379850626,1414.3551980983466,1437.9293941892684,0.0
resnet_manual_script,sequential,1,15,128,1353.3209608867764,1359.1092095291242,1390.9322512336075,0.0
resnet_manual_script,sequential,1,16,128,1253.8230787031353,1261.2386429170147,1297.8264042176306,0.0
resnet_manual_script,sequential,1,17,128,1240.4446308501065,1247.9433949291706,1275.4718600772321,0.0
resnet_manual_script,sequential,1,18,128,1168.1749001145363,1172.9222186561674,1191.3802581839263,0.0
resnet_manual_script,sequential,1,1,256,26611.70986900106,26634.737668186426,26852.268601302058,0.0
resnet_manual_script,sequential,1,2,256,13623.712197411805,13684.594136467203,13978.259835857898,0.0
resnet_manual_script,sequential,1,3,256,9272.583568934351,9308.177917832509,9452.779556624591,0.0
resnet_manual_script,sequential,1,4,256,7121.970285661519,7150.3550079790875,7334.274210035801,0.0
resnet_manual_script,sequential,1,5,256,5956.569468136877,5980.952012608759,6067.4364333972335,0.0
resnet_manual_script,sequential,1,6,256,5174.189954996109,5190.31628116034,5231.517741922289,0.0
resnet_manual_script,sequential,1,7,256,4617.007279768586,4641.503304247744,4711.945942603052,0.0
resnet_manual_script,sequential,1,8,256,3973.2752279378474,3990.3364735934883,4152.41985116154,0.0
resnet_manual_script,sequential,1,9,256,3651.056065224111,3664.630002435297,3700.991726014763,0.0
resnet_manual_script,sequential,1,10,256,3404.4562112540007,3418.6751198768616,3471.6381039470434,0.0
resnet_manual_script,sequential,1,11,256,3198.8037452101707,3212.3887794977054,3252.632905729115,0.0
resnet_manual_script,sequential,1,12,256,2972.0864738337696,2986.8990001874045,3028.2069128006697,0.0
resnet_manual_script,sequential,1,13,256,2996.325778774917,3006.6419749800116,3067.228001076728,0.0
resnet_manual_script,sequential,1,14,256,2829.0265761315823,2840.654783672653,2874.1345228627324,0.0
resnet_manual_script,sequential,1,15,256,2723.359864205122,2736.235097264871,2767.969994340092,0.0
resnet_manual_script,sequential,1,16,256,2585.5601001530886,2599.466881379485,2637.039914727211,0.0
resnet_manual_script,sequential,1,17,256,2502.941279206425,2515.0877216039225,2552.547886967659,0.0
resnet_manual_script,sequential,1,18,256,2423.002624884248,2435.886659929529,2463.503586128354,0.0
resnet_manual_script,sequential,1,1,512,53335.06832271814,53367.509414260276,53647.21746603027,0.0
resnet_manual_script,sequential,1,2,512,27341.05239296332,27551.169483256526,27922.086923848838,0.0
resnet_manual_script,sequential,1,3,512,18645.102951675653,18740.4287573928,19139.244422782212,0.0
resnet_manual_script,sequential,1,4,512,14311.182062141597,14369.473415957764,14521.60237915814,0.0
resnet_manual_script,sequential,1,5,512,11972.129431087524,12028.240968063474,12556.263976730406,0.0
resnet_manual_script,sequential,1,6,512,10401.3314191252,10447.363573797047,10720.682166982442,0.0
resnet_manual_script,sequential,1,7,512,9275.065733585507,9319.79820000939,9430.753857363015,0.0
resnet_manual_script,sequential,1,8,512,7952.138406224549,7987.808136106469,8177.714802324772,0.0
resnet_manual_script,sequential,1,9,512,7336.000731680542,7361.489837043919,7448.418593965471,0.0
resnet_manual_script,sequential,1,10,512,6829.298309981823,6853.259810549207,6956.758082844317,0.0
resnet_manual_script,sequential,1,11,512,6421.028924174607,6455.126531487331,6766.0274570807815,0.0
resnet_manual_script,sequential,1,12,512,5934.162213932723,5964.218711075373,6055.145424325019,0.0
resnet_manual_script,sequential,1,13,512,5929.536170326173,5951.888028443791,6025.698981247842,0.0
resnet_manual_script,sequential,1,14,512,5689.883983694017,5709.935975726694,5767.456475179642,0.0
resnet_manual_script,sequential,1,15,512,5449.164942838252,5469.449317390099,5531.490764115006,0.0
resnet_manual_script,sequential,1,16,512,5173.783242236823,5195.535257011652,5300.146512221545,0.0
resnet_manual_script,sequential,1,17,512,5008.072306402028,5027.154446896166,5076.016406994313,0.0
resnet_manual_script,sequential,1,18,512,4864.746971987188,4879.752078233287,4918.90533734113,0.0
resnet_manual_script,sequential,1,1,1024,107795.5751400441,107846.32688736543,108319.38410783187,0.0
resnet_manual_script,sequential,1,2,1024,54993.61597979441,55498.57706463896,55819.812539964914,0.0
resnet_manual_script,sequential,1,3,1024,37310.00405177474,37738.842744119465,38239.00987999514,0.0
resnet_manual_script,sequential,1,4,1024,28558.964339084923,28830.115218451247,29154.5374779962,0.0
resnet_manual_script,sequential,1,5,1024,23876.086378004402,24064.911648305133,24507.42695806548,0.0
resnet_manual_script,sequential,1,6,1024,20662.420199252665,20807.605674662627,21082.09709916264,0.0
resnet_manual_script,sequential,1,7,1024,18447.55207700655,18564.363458971493,18838.898099027574,0.0
resnet_manual_script,sequential,1,8,1024,15875.03458512947,16000.19606207963,16264.940544962883,0.0
resnet_manual_script,sequential,1,9,1024,14677.661538124084,14743.954233736731,15044.358105398715,0.0
resnet_manual_script,sequential,1,10,1024,13658.520850818604,13745.422106273472,14008.94435402006,0.0
resnet_manual_script,sequential,1,11,1024,12833.690114319324,12899.351048772223,13232.832347042859,0.0
resnet_manual_script,sequential,1,12,1024,11848.151976242661,11909.2170842411,12033.506792970002,0.0
resnet_manual_script,sequential,1,13,1024,11836.855550762266,11897.184153380804,12022.55852194503,0.0
resnet_manual_script,sequential,1,14,1024,11306.77888635546,11366.132103339769,11511.084420606494,0.0
resnet_manual_script,sequential,1,15,1024,10875.865583773702,10925.098662432283,11034.302136860788,0.0
resnet_manual_script,sequential,1,16,1024,10318.680956028402,10373.247260409407,10510.744682047516,0.0
resnet_manual_script,sequential,1,17,1024,9991.458132863045,10023.975412403233,10140.207898803055,0.0
resnet_manual_script,sequential,1,18,1024,9677.921430207789,9722.997243674472,9818.190233316272,0.0
resnet_manual_script,interleave,1,1,1,79.65393410995603,80.1590790040791,82.3369212448597,99.05956793236017
resnet_manual_script,interleave,1,2,1,47.34457517042756,48.20780737325549,62.64560203999281,164.71447602915057
resnet_manual_script,interleave,1,3,1,32.29455091059208,33.21060526184738,59.22627681866288,239.09602578433405
resnet_manual_script,interleave,1,4,1,25.326653383672237,26.12768547143787,59.78378793224692,303.9122520316766
resnet_manual_script,interleave,1,5,1,20.89639101177454,21.526735220104456,47.64164099469781,368.86799836624135
resnet_manual_script,interleave,1,6,1,18.67327792569995,19.32289348449558,46.97272693738341,410.938648415744
resnet_manual_script,interleave,1,7,1,16.753721050918102,17.378619448281825,40.583138819783926,456.9133788578964
resnet_manual_script,interleave,1,8,1,15.43113961815834,16.06718998402357,45.90587131679058,494.2073716621058
resnet_manual_script,interleave,1,9,1,15.55347302928567,16.250805938616395,36.234916653484106,488.62338040300676
resnet_manual_script,interleave,1,10,1,14.83588432893157,15.494718845002353,46.28616711124778,512.4664610846505
resnet_manual_script,interleave,1,11,1,13.589770067483187,14.2083033407107,56.64770631119609,558.8650200934417
resnet_manual_script,interleave,1,12,1,13.43189598992467,13.999839695170522,53.32363909110427,567.1867610555009
resnet_manual_script,interleave,1,13,1,12.56492268294096,13.211958548054099,52.02459217980504,601.0103424953227
resnet_manual_script,interleave,1,14,1,12.196344789117575,12.86198572255671,34.26468884572387,617.3637495238628
resnet_manual_script,interleave,1,15,1,11.918035335838795,12.614680514670908,58.24968917295337,629.4668915923118
resnet_manual_script,interleave,1,16,1,11.359815020114183,12.108133677393198,56.70033721253276,655.8007983365395
resnet_manual_script,interleave,1,17,1,11.285983957350254,12.107414077036083,45.42298661544919,655.8397756512393
resnet_manual_script,interleave,1,18,1,11.206125374883413,12.231080760248005,84.0150211006403,649.20867482188
resnet_manual_script,interleave,1,1,2,153.14596705138683,153.74316103756428,155.89054999873042,103.296073066429
resnet_manual_script,interleave,1,2,2,80.74620133265853,82.0017250534147,129.92528406903148,193.66744767448867
resnet_manual_script,interleave,1,3,2,57.98467015847564,59.298316412605345,80.83767583593726,267.81645343010246
resnet_manual_script,interleave,1,4,2,43.754393234848976,44.82428263872862,77.02661398798227,354.2960168263486
resnet_manual_script,interleave,1,5,2,36.82610718533397,37.860487452708185,71.43680239096284,419.4627661843275
resnet_manual_script,interleave,1,6,2,31.64097899571061,32.49908041674644,88.80448993295431,488.66197419594226
resnet_manual_script,interleave,1,7,2,28.440087102353573,29.431889331899583,59.47211105376482,539.5869975220177
resnet_manual_script,interleave,1,8,2,25.04869783297181,25.738859619013965,66.63428712636232,617.0073201016352
resnet_manual_script,interleave,1,9,2,23.488071281462908,24.34419016353786,66.24973099678755,652.3554363203372
resnet_manual_script,interleave,1,10,2,22.296328097581863,23.056220654398203,53.37054003030062,688.7973980666484
resnet_manual_script,interleave,1,11,2,21.133133210241795,22.144200382754207,78.80187639966607,717.1658728471449
resnet_manual_script,interleave,1,12,2,19.25305323675275,20.110898409038782,68.09623120352626,789.6745571974201
resnet_manual_script,interleave,1,13,2,18.63274583593011,19.593210592865944,67.21367500722408,810.5391773710854
resnet_manual_script,interleave,1,14,2,17.175136134028435,18.145292522385716,59.89318201318383,875.2167966654516
resnet_manual_script,interleave,1,15,2,17.024717759341,18.07947161141783,57.715877424925566,878.4031490151815
resnet_manual_script,interleave,1,16,2,15.550013165920973,16.42207263968885,61.35849328711629,967.0560558609793
resnet_manual_script,interleave,1,17,2,17.09397928789258,18.151769493706524,64.25975076854229,874.9044990630908
resnet_manual_script,interleave,1,18,2,16.239593736827374,17.217346136458218,76.90699165686965,922.3874963152072
resnet_manual_script,interleave,1,1,4,298.10280771926045,299.292169213295,301.35362036526203,106.12415596267822
resnet_manual_script,interleave,1,2,4,154.48308130726218,156.503673219122,232.7765580266714,202.9481365560641
resnet_manual_script,interleave,1,3,4,105.69687886163592,108.26406720560044,165.16754683107138,293.376460572848
resnet_manual_script,interleave,1,4,4,78.49146099761128,79.14076230023056,113.99947106838226,401.33716078582006
