benchmark,topology,interop_threads,intraop_threads,batch_size,throughput
resnet_manual_script,interleave,1,2,512,17.967659039953148
resnet_manual_script,interleave,1,3,512,26.138757219602773
resnet_manual_script,interleave,1,4,512,34.09462448323329
resnet_manual_script,interleave,1,5,512,40.74515103488842
resnet_manual_script,interleave,1,6,512,46.884114296201666
resnet_manual_script,interleave,1,7,512,52.57732185290627
resnet_manual_script,interleave,1,8,512,61.32493060596869
resnet_manual_script,interleave,1,9,512,65.93648861684129
resnet_manual_script,interleave,1,10,512,70.94460141893343
resnet_manual_script,interleave,1,11,512,74.59796435265645
resnet_manual_script,interleave,1,12,512,82.89952628319635
resnet_manual_script,interleave,1,13,512,86.07381037956083
resnet_manual_script,interleave,1,14,512,87.93738849430895
resnet_manual_script,interleave,1,15,512,93.87543827711416
resnet_manual_script,interleave,1,16,512,96.22118830238216
resnet_manual_script,interleave,1,17,512,100.86032442152452
resnet_manual_script,interleave,1,18,512,101.66521031129467
resnet_manual_script,interleave,1,1,1024,9.48573146985977
resnet_manual_script,interleave,1,2,1024,17.959137781642948
resnet_manual_script,interleave,1,3,1024,26.184996041904007
resnet_manual_script,interleave,1,4,1024,34.298270685502544
resnet_manual_script,interleave,1,5,1024,41.017528254301446
resnet_manual_script,interleave,1,6,1024,47.49049708127867
resnet_manual_script,interleave,1,7,1024,53.293830695282615
resnet_manual_script,interleave,1,8,1024,62.07662274216483
resnet_manual_script,interleave,1,9,1024,66.78983529392367
resnet_manual_script,interleave,1,10,1024,72.74846924267906
resnet_manual_script,interleave,1,11,1024,75.94365315822768
resnet_manual_script,interleave,1,12,1024,84.19139514512118
resnet_manual_script,interleave,1,13,1024,88.40523031140019
resnet_manual_script,interleave,1,14,1024,91.87198305356466
resnet_manual_script,interleave,1,15,1024,95.74631484032406
resnet_manual_script,interleave,1,16,1024,99.56917326251629
resnet_manual_script,interleave,1,17,1024,103.87517812988365
resnet_manual_script,interleave,1,18,1024,106.26212770880511
